Call: 
traitMPT(eqnfile = "2htmratings2.eqn", data = do, restrictions = list("q1_A=q6_A", 
    "q2_A=q5_A", "q1_B=q6_B", "q2_B=q5_B"), n.iter = 75000, n.adapt = 15000, 
    n.burnin = 10000, n.thin = 10, n.chains = 4, modelfilename = "old2.jags", 
    parEstFile = "oldratings2.txt", posteriorFile = "oldratingsmod2.RData")

Group-level medians of MPT parameters (probability scale):
           Mean    SD  2.5%   50% 97.5% Time-series SE n.eff  Rhat R_95%
  9  0.06034213 0.04745793 3.970743e-04 0.05256495 0.1719996   0.0009435144  2530
  10 0.07372495 0.05336549 1.319228e-03 0.06580825 0.1996517   0.0009452997  3187
  11 0.07396719 0.05369264 1.345038e-03 0.06629465 0.2007303   0.0009261482  3361
  12 0.05582474 0.04682841 1.686587e-04 0.04688590 0.1654274   0.0011483209  1663
  13 0.07316067 0.05338953 1.476315e-03 0.06512990 0.1995004   0.0010875459  2410
  14 0.07149013 0.05494127 1.037015e-03 0.06286860 0.2049547   0.0011285596  2370
  15 0.07120141 0.05175106 1.087657e-03 0.06375190 0.1914796   0.0008808133  3452
  16 0.05503816 0.05051558 4.244503e-05 0.04358275 0.1764458   0.0015552462  1055
  17 0.12438478 0.09141943 4.412961e-03 0.10441150 0.3549252   0.0027805178  1081
  18 0.07051217 0.05649330 5.441851e-04 0.06074240 0.2111058   0.0011965805  2229
  19 0.06614816 0.05406482 3.764427e-04 0.05702585 0.1973040   0.0011984849  2035
  20 0.06803749 0.05025130 8.953382e-04 0.06049555 0.1852736   0.0011267562  1989
  21 0.08461753 0.06564034 1.780531e-03 0.07283410 0.2509295   0.0014169548  2146
  22 0.06744610 0.05869335 2.910133e-04 0.05645180 0.2117091   0.0013943025  1772
  23 0.11337134 0.08751143 2.533825e-03 0.09453680 0.3407001   0.0024702615  1255
  24 0.06714172 0.04949953 1.013529e-03 0.05986690 0.1833964   0.0008678787  3253
    Statistic
ID       Rhat    R_95%
  1  1.000328 1.000592
  2  1.002679 1.007589
  3  1.004694 1.014201
  4  1.003570 1.010943
  5  1.002206 1.005567
  6  1.003208 1.009766
  7  1.001628 1.003993
  8  1.006694 1.019080
  9  1.004184 1.012471
  10 1.002569 1.005348
  11 1.004274 1.012841
  12 1.001772 1.005710
  13 1.000904 1.002373
  14 1.002368 1.003744
  15 1.001406 1.004236
  16 1.006250 1.015943
  17 1.005719 1.015939
  18 1.001920 1.004927
  19 1.003321 1.010289
  20 1.001907 1.005369
  21 1.008161 1.021542
  22 1.005303 1.011689
  23 1.003572 1.008000
  24 1.001058 1.002219
Parameter  po_B 
    Statistic
ID         Mean         SD         2.5%        50%     97.5% Time-series SE n.eff
  1  0.58830279 0.16853505 2.188032e-01 0.60592400 0.8625442   0.0039088638  1859
  2  0.51373869 0.16671894 1.557229e-01 0.52563400 0.8046037   0.0035030864  2265
  3  0.96087896 0.05394164 8.060556e-01 0.98213800 0.9999960   0.0008918715  3658
  4  0.08538248 0.09792412 1.304099e-05 0.05019225 0.3532500   0.0019464516  2531
  5  0.69098561 0.13175649 3.851799e-01 0.70773050 0.8998311   0.0023814439  3061
  6  0.76664012 0.13962249 4.382609e-01 0.79208050 0.9626853   0.0027758443  2530
  7  0.30168260 0.17214959 2.856718e-03 0.30028250 0.6367716   0.0041460769  1724
  8  0.96404118 0.05036857 8.185655e-01 0.98486600 0.9999990   0.0008805478  3272
  9  0.68390838 0.13669263 3.737167e-01 0.70060200 0.8967830   0.0028203537  2349
  10 0.38941357 0.20995317 1.075911e-03 0.39839700 0.7669597   0.0058342838  1295
  11 0.81386233 0.10690102 5.626606e-01 0.83219100 0.9665572   0.0016746267  4075
  12 0.84838370 0.12505790 5.290440e-01 0.87959400 0.9896023   0.0025748217  2359
  13 0.10934796 0.11895676 2.664557e-06 0.06880505 0.4199258   0.0026849053  1963
  14 0.17982764 0.15178115 1.204057e-04 0.14873750 0.5299903   0.0034968530  1884
  15 0.76021369 0.13663548 4.404910e-01 0.78322550 0.9567823   0.0028577575  2286
  16 0.85767504 0.13126398 5.359698e-01 0.89175400 0.9919930   0.0027418157  2292
  17 0.21270589 0.14419898 4.268826e-05 0.20904300 0.5041547   0.0030983678  2166
  18 0.11049039 0.10845452 1.360018e-05 0.07969330 0.3788711   0.0020558482  2783
  19 0.96152672 0.05910030 7.936863e-01 0.98519800 0.9999990   0.0012442858  2256
  20 0.85575088 0.13803760 5.426369e-01 0.88806550 0.9889731   0.0030592044  2036
  21 0.15339915 0.14263167 9.682834e-06 0.11907300 0.4886194   0.0033305527  1834
  22 0.95188901 0.07330247 7.464006e-01 0.98145550 0.9999990   0.0015969318  2107
  23 0.06861498 0.08689520 1.480891e-07 0.03251465 0.3039641   0.0017410407  2491
  24 0.47181746 0.16457410 1.308802e-01 0.48090950 0.7665589   0.0034788160  2238
    Statistic
ID       Rhat    R_95%
  1  1.002379 1.005250
  2  1.000816 1.002604
  3  1.000204 1.000404
  4  1.005523 1.013643
  5  1.008322 1.022955
  6  1.007578 1.019296
  7  1.003206 1.009513
  8  1.002523 1.005064
  9  1.004349 1.010542
  10 1.003752 1.009869
  11 1.002992 1.009193
  12 1.014217 1.026199
  13 1.000761 1.001922
  14 1.000213 1.000520
  15 1.002088 1.006018
  16 1.046492 1.070680
  17 1.002729 1.008059
  18 1.001596 1.004530
  19 1.015593 1.024866
  20 1.162142 1.350920
  21 1.005239 1.015383
  22 1.004266 1.006487
  23 1.003918 1.008664
  24 1.001914 1.005184
Parameter  q1_A 
    Statistic
ID        Mean         SD       2.5%       50%     97.5% Time-series SE n.eff
  1  0.1910007 0.03311912 0.12521180 0.1910500 0.2584728   0.0007230629  2098
  2  0.1995274 0.03362486 0.13593445 0.1982960 0.2721313   0.0006549192  2636
  3  0.2133351 0.04046823 0.14329295 0.2089900 0.3076694   0.0010576540  1464
  4  0.2022639 0.03491954 0.13827990 0.2002285 0.2803101   0.0008212384  1808
  5  0.1890461 0.03332444 0.12264287 0.1889490 0.2569203   0.0006962261  2291
  6  0.1752695 0.03572625 0.10036863 0.1774280 0.2413492   0.0009136580  1529
  7  0.2012415 0.03505881 0.13744697 0.1987970 0.2793869   0.0007347095  2277
  8  0.1977683 0.03533472 0.12979695 0.1967945 0.2730865   0.0007861872  2020
  9  0.1916957 0.03377709 0.12439762 0.1914270 0.2611708   0.0006793568  2472
  10 0.2208937 0.03994895 0.15704350 0.2153900 0.3147164   0.0009392605  1809
  11 0.2121789 0.03693495 0.14872190 0.2084795 0.2952020   0.0007817906  2232
  12 0.1770426 0.03524459 0.10258665 0.1790760 0.2425390   0.0009501304  1376
  13 0.2140845 0.03884736 0.14749375 0.2098355 0.3048991   0.0009633880  1626
  14 0.1939586 0.03482333 0.12529880 0.1937550 0.2670161   0.0008529087  1667
  15 0.1986992 0.03502679 0.12904640 0.1981705 0.2704639   0.0007371204  2258
  16 0.1626426 0.04050847 0.07881397 0.1659650 0.2347045   0.0013268991   932
  17 0.2463106 0.05825025 0.16491905 0.2333205 0.3883612   0.0017563113  1100
  18 0.1877598 0.03422174 0.11756962 0.1884835 0.2562033   0.0008244408  1723
  19 0.1995557 0.03584881 0.13381085 0.1975985 0.2800428   0.0007902275  2058
  20 0.2185360 0.04272030 0.14631790 0.2135195 0.3164336   0.0013102906  1063
  21 0.2072065 0.03619991 0.14127158 0.2047635 0.2871718   0.0008427705  1845
  22 0.1783503 0.03555476 0.10259513 0.1805735 0.2442851   0.0009823407  1310
  23 0.2375421 0.05091371 0.16047245 0.2285270 0.3573615   0.0015039813  1146
  24 0.2023705 0.03312745 0.14146640 0.2006100 0.2749807   0.0005737269  3334
    Statistic
ID       Rhat    R_95%
  1  1.001472 1.003850
  2  1.003625 1.009550
  3  1.006784 1.019544
  4  1.002406 1.004617
  5  1.001186 1.003808
  6  1.004923 1.015128
  7  1.004185 1.010793
  8  1.010563 1.032536
  9  1.001675 1.002054
  10 1.006384 1.017168
  11 1.002266 1.007177
  12 1.001361 1.004415
  13 1.006733 1.018571
  14 1.005138 1.013067
  15 1.003332 1.009555
  16 1.007957 1.023992
  17 1.005513 1.016018
  18 1.004936 1.013107
  19 1.002568 1.007790
  20 1.006929 1.020501
  21 1.004487 1.013664
  22 1.004585 1.013060
  23 1.005481 1.015507
  24 1.000541 1.000885
Parameter  q1_B 
    Statistic
ID         Mean         SD         2.5%        50%     97.5% Time-series SE n.eff
  1  0.09726006 0.06815027 0.0047596025 0.08591740 0.2568611    0.001596590  1822
  2  0.15196948 0.07796769 0.0285058775 0.14350400 0.3284755    0.001742104  2003
  3  0.32834828 0.16455567 0.0827666900 0.30069950 0.7170461    0.004253064  1497
  4  0.11682554 0.05823915 0.0233610950 0.11054050 0.2462842    0.001265172  2119
  5  0.08367526 0.06179034 0.0032172642 0.07210175 0.2313120    0.001482589  1737
  6  0.06712864 0.05603814 0.0014288678 0.05405970 0.2039504    0.001390563  1624
  7  0.15811565 0.07538760 0.0417759100 0.14827050 0.3320442    0.001797492  1759
  8  0.19856003 0.12579747 0.0163053850 0.17860050 0.5016629    0.003436525  1340
  9  0.09794177 0.07203588 0.0039274142 0.08459535 0.2709769    0.001823839  1560
  10 0.29860194 0.11140190 0.1154033750 0.28648950 0.5455118    0.002678364  1730
  11 0.25257086 0.12219677 0.0653233100 0.23435600 0.5457790    0.003098807  1555
  12 0.06962287 0.05797584 0.0014120090 0.05634940 0.2126095    0.001469746  1556
  13 0.23189031 0.08262250 0.0939244500 0.22370300 0.4138484    0.001708375  2339
  14 0.08206915 0.05428103 0.0047024635 0.07392735 0.2046482    0.001236217  1928
  15 0.19461491 0.11582537 0.0187683850 0.17758050 0.4687693    0.002859232  1641
  16 0.05267703 0.05761436 0.0002409213 0.03427870 0.2034451    0.001842304   978
  17 0.34372360 0.10500106 0.1589229500 0.33746600 0.5619000    0.002265565  2148
  18 0.11140849 0.05513594 0.0277976725 0.10393950 0.2379307    0.001204025  2097
  19 0.15535836 0.09299598 0.0260602850 0.13891200 0.3865383    0.002199895  1787
  20 0.39194632 0.17147823 0.1287536250 0.36542500 0.7834502    0.004850137  1250
  21 0.25150560 0.08330550 0.1126675250 0.24328550 0.4358186    0.001823965  2086
  22 0.08953408 0.07147985 0.0027020238 0.07373955 0.2670662    0.001819704  1543
  23 0.36842328 0.09996321 0.1907525500 0.36215100 0.5788571    0.001859479  2890
  24 0.12587274 0.07532182 0.0102792800 0.11770600 0.2937164    0.001798482  1754
    Statistic
ID       Rhat    R_95%
  1  1.000584 1.001559
  2  1.001967 1.006106
  3  1.001750 1.005097
  4  1.002320 1.005157
  5  1.000417 1.001089
  6  1.001146 1.001480
  7  1.005578 1.016253
  8  1.001221 1.003449
  9  1.001253 1.003994
  10 1.002325 1.006588
  11 1.000633 1.001914
  12 1.001168 1.002234
  13 1.002949 1.008751
  14 1.000642 1.001368
  15 1.002663 1.007262
  16 1.008796 1.021408
  17 1.000411 1.001139
  18 1.003150 1.008162
  19 1.007667 1.020490
  20 1.012084 1.033521
  21 1.003034 1.009499
  22 1.004051 1.008432
  23 1.001246 1.003678
  24 1.001436 1.004075
Parameter  q2_A 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff
  1  0.3756113 0.03704417 0.3071577 0.3736660 0.4560577   0.0006356762  3396
  2  0.3688429 0.03516128 0.2964031 0.3693295 0.4389003   0.0005349618  4320
  3  0.3759456 0.04067004 0.2981351 0.3743520 0.4646133   0.0009255150  1931
  4  0.3727354 0.03751566 0.2981091 0.3721220 0.4504773   0.0007599496  2437
  5  0.3631399 0.03715772 0.2823918 0.3646650 0.4326588   0.0007089567  2747
  6  0.3657151 0.03832891 0.2856898 0.3663170 0.4412417   0.0008091240  2244
  7  0.3643062 0.03947342 0.2767217 0.3661050 0.4389302   0.0007952148  2464
  8  0.3747832 0.03914901 0.3006899 0.3732650 0.4601104   0.0008275433  2238
  9  0.3654685 0.03670121 0.2875920 0.3665990 0.4360512   0.0007537280  2371
  10 0.3788220 0.03811880 0.3083554 0.3763290 0.4633501   0.0008045092  2245
  11 0.3733385 0.03798474 0.2991152 0.3723980 0.4531113   0.0007942846  2287
  12 0.3564138 0.04009978 0.2647936 0.3599035 0.4275616   0.0008968826  1999
  13 0.3772793 0.03896993 0.3037819 0.3754160 0.4631371   0.0008640805  2034
  14 0.3742792 0.03727464 0.3027334 0.3728730 0.4545393   0.0007375697  2554
  15 0.3725291 0.03635710 0.3015188 0.3716390 0.4485615   0.0006191638  3448
  16 0.3699430 0.04360583 0.2823348 0.3694755 0.4611679   0.0013979388   973
  17 0.3752442 0.04218507 0.2921062 0.3740155 0.4645565   0.0010619530  1578
  18 0.3724523 0.03905291 0.2972326 0.3712605 0.4557427   0.0008855103  1945
  19 0.3666278 0.03801516 0.2879897 0.3670740 0.4420123   0.0007914673  2307
  20 0.3673464 0.03993798 0.2817599 0.3684070 0.4454541   0.0008970864  1982
  21 0.3791872 0.03947862 0.3064206 0.3769050 0.4668563   0.0008508244  2153
  22 0.3572139 0.04081187 0.2619866 0.3607955 0.4280322   0.0010225359  1593
  23 0.3854804 0.04578839 0.3053657 0.3810730 0.4935291   0.0013868902  1090
  24 0.3712446 0.03549831 0.3011326 0.3708045 0.4439085   0.0005979841  3524
    Statistic
ID       Rhat    R_95%
  1  1.001401 1.004392
  2  1.001285 1.004040
  3  1.002252 1.007204
  4  1.002086 1.005783
  5  1.002006 1.005770
  6  1.001678 1.004926
  7  1.000441 1.000889
  8  1.001764 1.005329
  9  1.000423 1.001456
  10 1.000419 1.000535
  11 1.003413 1.010564
  12 1.001847 1.004847
  13 1.001136 1.002098
  14 1.002328 1.007404
  15 1.002115 1.005465
  16 1.000890 1.002292
  17 1.001078 1.002638
  18 1.001753 1.004682
  19 1.002811 1.007708
  20 1.003674 1.009893
  21 1.001713 1.003393
  22 1.001568 1.003860
  23 1.002659 1.002934
  24 1.001574 1.003462
Parameter  q2_B 
    Statistic
ID        Mean         SD       2.5%       50%     97.5% Time-series SE n.eff
  1  0.3258917 0.09272450 0.14814463 0.3261185 0.5186543    0.002401351  1491
  2  0.3634298 0.08568309 0.19886822 0.3611815 0.5475678    0.001885537  2065
  3  0.3452463 0.12279106 0.08447255 0.3522750 0.5855007    0.004177437   864
  4  0.3566553 0.07340742 0.21625255 0.3551075 0.5087639    0.001577651  2165
  5  0.2882466 0.09614322 0.09984505 0.2916705 0.4743759    0.002595623  1372
  6  0.2438131 0.10154204 0.05335449 0.2448380 0.4322681    0.003051913  1107
  7  0.2757012 0.09689493 0.07551471 0.2833165 0.4471581    0.002519515  1479
  8  0.3043991 0.11469536 0.06970342 0.3127495 0.5213748    0.003521180  1061
  9  0.2765366 0.10042446 0.07116318 0.2826210 0.4574111    0.002728160  1355
  10 0.3781594 0.09973880 0.17351335 0.3784715 0.5820779    0.002873231  1205
  11 0.3341833 0.10815317 0.10649827 0.3404330 0.5413325    0.003124718  1198
  12 0.2704468 0.09838859 0.08323520 0.2726955 0.4576309    0.003238500   923
  13 0.3986075 0.08494150 0.23566762 0.3953050 0.5761585    0.002033397  1745
  14 0.3612062 0.08187405 0.20221165 0.3597320 0.5320171    0.001983988  1703
  15 0.3575895 0.10450246 0.14812365 0.3568485 0.5771915    0.002968868  1239
  16 0.2211325 0.11290527 0.02862415 0.2149300 0.4419673    0.004411574   655
  17 0.4495749 0.09390843 0.28362023 0.4424155 0.6508637    0.002463609  1453
  18 0.3337766 0.08044398 0.17846383 0.3337770 0.4968147    0.002216668  1317
  19 0.2694430 0.10600549 0.05905184 0.2779285 0.4609452    0.003087248  1179
  20 0.3812325 0.12190755 0.13109322 0.3808675 0.6392887    0.003984673   936
  21 0.4727896 0.10326952 0.30164717 0.4620505 0.6968022    0.002670863  1495
  22 0.2747381 0.10042665 0.08019651 0.2767205 0.4677775    0.003014307  1110
  23 0.4953604 0.10754128 0.31219818 0.4869495 0.7219393    0.003082690  1217
  24 0.3904744 0.08866288 0.22951452 0.3838350 0.5883418    0.001987038  1991
    Statistic
ID       Rhat    R_95%
  1  1.003252 1.009005
  2  1.000462 1.001613
  3  1.007495 1.021663
  4  1.005035 1.014887
  5  1.011240 1.033872
  6  1.005810 1.017799
  7  1.005718 1.017477
  8  1.010353 1.030934
  9  1.003073 1.009533
  10 1.013676 1.040679
  11 1.004795 1.013194
  12 1.002301 1.006443
  13 1.000514 1.001198
  14 1.001365 1.003597
  15 1.007509 1.021566
  16 1.006482 1.019083
  17 1.004302 1.013300
  18 1.001963 1.006286
  19 1.004131 1.012012
  20 1.027132 1.079450
  21 1.012282 1.036625
  22 1.003332 1.010160
  23 1.002566 1.007894
  24 1.001242 1.003956
Parameter  r1 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff
  1  0.3753055 0.06870327 0.2430229 0.3747290 0.5128776    0.001631635  1773
  2  0.4219869 0.06903877 0.2870713 0.4216545 0.5594906    0.001629978  1794
  3  0.5320405 0.07190697 0.3962115 0.5303715 0.6781151    0.001838939  1529
  4  0.4523608 0.07552041 0.3134829 0.4491970 0.6107399    0.002065374  1337
  5  0.3550722 0.06984562 0.2218045 0.3541415 0.4973602    0.001720002  1649
  6  0.2863699 0.06880688 0.1566550 0.2843750 0.4246552    0.001537800  2002
  7  0.3646979 0.07064509 0.2285980 0.3643250 0.5031521    0.001880695  1411
  8  0.4770378 0.07587810 0.3327659 0.4747665 0.6312577    0.002045537  1376
  9  0.3674273 0.06692222 0.2388827 0.3667760 0.5005032    0.001612701  1722
  10 0.5321674 0.07214705 0.3969239 0.5302665 0.6801599    0.001644384  1925
  11 0.5377180 0.07540970 0.3984235 0.5347615 0.6947432    0.001750404  1856
  12 0.2972325 0.06932403 0.1653212 0.2958750 0.4353913    0.001535990  2037
  13 0.5194158 0.07327501 0.3795431 0.5173635 0.6691423    0.001759670  1734
  14 0.4006480 0.07200496 0.2631220 0.3996290 0.5480783    0.001812055  1579
  15 0.5230625 0.07552829 0.3840184 0.5189170 0.6816094    0.001939174  1517
  16 0.2812200 0.07142099 0.1517304 0.2775945 0.4315128    0.002101527  1155
  17 0.5755229 0.08127280 0.4170309 0.5747490 0.7381204    0.002084603  1520
  18 0.3194851 0.07722002 0.1699999 0.3197050 0.4684765    0.002275117  1152
  19 0.3725181 0.07350753 0.2259988 0.3739635 0.5146205    0.001849283  1580
  20 0.5525404 0.07283702 0.4121726 0.5514685 0.6983000    0.001646061  1958
  21 0.4840050 0.07483427 0.3407059 0.4824210 0.6354045    0.001878504  1587
  22 0.3341961 0.07160126 0.1994519 0.3326000 0.4783955    0.001822794  1543
  23 0.6003645 0.07486554 0.4545031 0.5995840 0.7479873    0.001717081  1901
  24 0.4501144 0.06918884 0.3176687 0.4481190 0.5904770    0.001549824  1993
    Statistic
ID       Rhat    R_95%
  1  1.016037 1.048855
  2  1.002207 1.005970
  3  1.001722 1.005565
  4  1.002888 1.008910
  5  1.003854 1.011182
  6  1.005760 1.017556
  7  1.002201 1.006971
  8  1.008451 1.023956
  9  1.003349 1.010036
  10 1.000708 1.002337
  11 1.006471 1.019910
  12 1.001407 1.004183
  13 1.004974 1.015399
  14 1.001300 1.003599
  15 1.008187 1.024080
  16 1.004504 1.012217
  17 1.002142 1.005908
  18 1.000584 1.001142
  19 1.000516 1.001694
  20 1.003240 1.008803
  21 1.001931 1.004372
  22 1.001814 1.004691
  23 1.000380 1.001157
  24 1.005146 1.015772
Parameter  r2 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff
  1  0.6576930 0.06109517 0.5316970 0.6584760 0.7798610    0.001325964  2123
  2  0.6833300 0.05997537 0.5689959 0.6806920 0.8120714    0.001208483  2463
  3  0.7278333 0.07118977 0.6083559 0.7198595 0.8840669    0.001844270  1490
  4  0.6643646 0.06607076 0.5272068 0.6651785 0.7947789    0.001468965  2023
  5  0.6490693 0.06447477 0.5140149 0.6512640 0.7763042    0.001626161  1572
  6  0.6363661 0.06716174 0.4933836 0.6396650 0.7629684    0.001756500  1462
  7  0.6617038 0.06181369 0.5331882 0.6628610 0.7860881    0.001336844  2138
  8  0.6928537 0.06759351 0.5666859 0.6882230 0.8412396    0.001817582  1383
  9  0.6546731 0.06223973 0.5242019 0.6559710 0.7775476    0.001345115  2141
  10 0.7030847 0.06444197 0.5871119 0.6983785 0.8437396    0.001450425  1974
  11 0.7005262 0.06614880 0.5796046 0.6962425 0.8438802    0.001558709  1801
  12 0.6483267 0.06530346 0.5128086 0.6498110 0.7770069    0.001627508  1610
  13 0.6947755 0.06383760 0.5739846 0.6916515 0.8296974    0.001285263  2467
  14 0.6685094 0.06237540 0.5459052 0.6675475 0.7977523    0.001340864  2164
  15 0.6929690 0.06500519 0.5714877 0.6888535 0.8324312    0.001520823  1827
  16 0.6038602 0.08457382 0.4198393 0.6112105 0.7525786    0.002591559  1065
  17 0.7236846 0.07202564 0.5974494 0.7171495 0.8792952    0.001986206  1315
  18 0.6400767 0.06954110 0.4865977 0.6449700 0.7668575    0.002001649  1207
  19 0.6694598 0.06514518 0.5409846 0.6684290 0.8037723    0.001496109  1896
  20 0.7302390 0.07152417 0.6095799 0.7227665 0.8857045    0.001870592  1462
  21 0.6950449 0.06427425 0.5739767 0.6915085 0.8311490    0.001512021  1807
  22 0.6435906 0.06832314 0.4967689 0.6466120 0.7738686    0.001703824  1608
  23 0.7333300 0.07373220 0.6057397 0.7266045 0.8904858    0.002024815  1326
  24 0.6874396 0.06045987 0.5762069 0.6835890 0.8192582    0.001179382  2628
    Statistic
ID       Rhat    R_95%
  1  1.003981 1.012334
  2  1.000701 1.001873
  3  1.008791 1.025118
  4  1.005719 1.016374
  5  1.003376 1.009577
  6  1.009442 1.028091
  7  1.001326 1.004309
  8  1.002188 1.003344
  9  1.011426 1.034739
  10 1.003888 1.011931
  11 1.001645 1.004251
  12 1.013681 1.040676
  13 1.001829 1.004322
  14 1.004957 1.013978
  15 1.003092 1.008967
  16 1.014195 1.042680
  17 1.008070 1.024044
  18 1.009782 1.029949
  19 1.001967 1.005036
  20 1.005580 1.015813
  21 1.001302 1.003919
  22 1.008585 1.026050
  23 1.002118 1.006118
  24 1.000951 1.002037
Parameter  r5 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff
  1  0.7014509 0.09311330 0.5141717 0.6998070 0.8981007    0.001980238  2211
  2  0.7047611 0.10245605 0.4880030 0.7040990 0.9145071    0.002410898  1806
  3  0.7485165 0.10230557 0.5606673 0.7393890 0.9640637    0.003032691  1138
  4  0.6933578 0.12063222 0.4066134 0.6988225 0.9209522    0.003312772  1326
  5  0.7293052 0.08596319 0.5775326 0.7222725 0.9248074    0.001631853  2775
  6  0.6797334 0.09377068 0.4716866 0.6848040 0.8557045    0.001928605  2364
  7  0.7033044 0.10044542 0.4939176 0.7023565 0.9127117    0.002404542  1745
  8  0.7308271 0.09486294 0.5489834 0.7259840 0.9334497    0.002404099  1557
  9  0.7299975 0.08700939 0.5746466 0.7233670 0.9251932    0.001691817  2645
  10 0.7149101 0.11633018 0.4687693 0.7129250 0.9519450    0.003754540   960
  11 0.7342005 0.09860661 0.5501966 0.7272805 0.9441748    0.002830067  1214
  12 0.6805540 0.08808161 0.4883878 0.6843700 0.8461766    0.001838228  2296
  13 0.7125433 0.11954514 0.4531233 0.7120645 0.9526729    0.003814839   982
  14 0.7039343 0.10565301 0.4785599 0.7045290 0.9161393    0.002608915  1640
  15 0.7201137 0.09595087 0.5317143 0.7157750 0.9261046    0.002530285  1438
  16 0.6821320 0.08725503 0.5012895 0.6845640 0.8504116    0.002245443  1510
  17 0.7242707 0.12418259 0.4601411 0.7217045 0.9664051    0.005147534   582
  18 0.6928495 0.11251859 0.4381020 0.6964725 0.9113938    0.002857054  1551
  19 0.7216881 0.08229232 0.5654460 0.7180310 0.8928702    0.001532629  2883
  20 0.7317720 0.10831358 0.5166603 0.7273610 0.9549680    0.003730518   843
  21 0.7172779 0.11305749 0.4815791 0.7157220 0.9460249    0.003339697  1146
  22 0.6931669 0.08260781 0.5194329 0.6954800 0.8520780    0.001497511  3043
  23 0.7266014 0.12862786 0.4484238 0.7244365 0.9728823    0.005056883   647
  24 0.7188549 0.09737793 0.5303653 0.7151785 0.9276704    0.002410463  1632
    Statistic
ID       Rhat    R_95%
  1  1.002042 1.005972
  2  1.000263 1.000829
  3  1.003108 1.009228
  4  1.001867 1.003754
  5  1.002919 1.009278
  6  1.000538 1.001661
  7  1.004410 1.012421
  8  1.002655 1.007992
  9  1.001745 1.005503
  10 1.002265 1.006126
  11 1.003351 1.009869
  12 1.005957 1.018532
  13 1.001644 1.003314
  14 1.001704 1.005331
  15 1.000519 1.001411
  16 1.010169 1.028116
  17 1.001149 1.003575
  18 1.006312 1.019287
  19 1.000257 1.000941
  20 1.002073 1.003664
  21 1.001556 1.003539
  22 1.001688 1.004785
  23 1.001836 1.003879
  24 1.000869 1.002622
Parameter  r6 
    Statistic
ID         Mean         SD        2.5%        50%     97.5% Time-series SE n.eff
  1  0.40333407 0.13791203 0.173550300 0.39169650 0.7130304    0.003766064  1341
  2  0.57784374 0.15085063 0.295756350 0.57234000 0.8903604    0.004241328  1265
  3  0.81820965 0.07694104 0.647915325 0.82579750 0.9445804    0.001264903  3700
  4  0.46496265 0.21251050 0.080789038 0.45877400 0.8877613    0.006690134  1009
  5  0.37257249 0.11755247 0.166138450 0.36398150 0.6192571    0.002706112  1887
  6  0.36041384 0.11696900 0.162781225 0.35037300 0.6176276    0.002829435  1709
  7  0.40207440 0.17435502 0.101336200 0.38853850 0.7830729    0.004664835  1397
  8  0.74332069 0.09232581 0.547005675 0.75005500 0.9048132    0.001739212  2818
  9  0.38683434 0.12189214 0.174895000 0.37878200 0.6409410    0.002701387  2036
  10 0.64085036 0.17338625 0.304173150 0.64093000 0.9579790    0.005750859   909
  11 0.76907012 0.09518976 0.568769625 0.77457650 0.9382297    0.001904939  2497
  12 0.30311024 0.10420934 0.128476225 0.29472700 0.5224441    0.002297680  2057
  13 0.57391093 0.21413096 0.140902725 0.58527350 0.9466261    0.007528444   809
  14 0.40009960 0.20918179 0.065354732 0.37657200 0.8579534    0.007607868   756
  15 0.63164017 0.11908652 0.398729575 0.63157700 0.8673196    0.002668197  1992
  16 0.09959601 0.08081133 0.005805168 0.08238125 0.2825001    0.002013999  1610
  17 0.82951486 0.12757053 0.518364400 0.85583650 0.9916044    0.003437822  1377
  18 0.34098223 0.19676527 0.031846458 0.31937200 0.7705710    0.006428041   937
  19 0.58505130 0.09960982 0.388272300 0.58576100 0.7750420    0.001900176  2748
  20 0.82907795 0.08596942 0.639687975 0.83703000 0.9724458    0.001821321  2228
  21 0.56014076 0.21370449 0.145999275 0.56321600 0.9490224    0.007834787   744
  22 0.45076899 0.10267594 0.257578175 0.44814550 0.6581006    0.002187567  2203
  23 0.73524203 0.18215266 0.310950875 0.76406900 0.9899604    0.005973021   930
  24 0.55865883 0.15288106 0.275230925 0.55140550 0.8799861    0.004002451  1459
    Statistic
ID       Rhat    R_95%
  1  1.002481 1.006673
  2  1.002586 1.005793
  3  1.001806 1.004819
  4  1.002317 1.006678
  5  1.010568 1.029087
  6  1.006806 1.015284
  7  1.005592 1.016422
  8  1.000291 1.000760
  9  1.002997 1.004722
  10 1.002189 1.006430
  11 1.000580 1.001907
  12 1.003942 1.006108
  13 1.003816 1.009324
  14 1.001586 1.003719
  15 1.002116 1.006528
  16 1.063392 1.103150
  17 1.002844 1.004248
  18 1.006337 1.017577
  19 1.001449 1.003825
  20 1.011854 1.033789
  21 1.005681 1.016002
  22 1.001202 1.003785
  23 1.007207 1.021022
  24 1.003388 1.010411


#################################
#### Model information
$model
[1] "traitMPT"

$thetaNames
   Parameter theta
1        b_A     1
2        b_B     2
3       pn_A     3
4       pn_B     4
