Call: 
traitMPT(eqnfile = "2htmratings2.eqn", data = dy, restrictions = list("q1_A=q6_A", 
    "q2_A=q5_A", "q1_B=q6_B", "q2_B=q5_B"), n.iter = 75000, n.adapt = 15000, 
    n.burnin = 10000, n.thin = 10, n.chains = 4, modelfilename = "young.jags", 
    parEstFile = "youngratings.txt", posteriorFile = "youngratingsmod.RData")

Group-level medians of MPT parameters (probability scale):
           Mean    SD  2.5%   50% 97.5% Time-series SE n.eff  Rhat R_95%
  15 0.7508180 0.09371111 0.5496231 0.7581300 0.9137119    0.001732423  2926 1.002680 1.007830
  16 0.6393539 0.10529274 0.4186167 0.6444920 0.8314003    0.002019639  2718 1.000310 1.000751
  17 0.6870985 0.11149505 0.4555934 0.6913515 0.8916813    0.002152510  2683 1.000521 1.001265
  18 0.6113972 0.15141804 0.3178007 0.6088710 0.9081698    0.004776333  1005 1.009941 1.029101
  19 0.4321950 0.15201364 0.1446122 0.4323385 0.7186638    0.003962129  1472 1.003322 1.010045
  20 0.8296077 0.08710092 0.6348012 0.8396570 0.9663481    0.001792944  2360 1.002117 1.004351
  21 0.6506228 0.10884028 0.4198868 0.6562455 0.8486972    0.002301212  2237 1.000923 1.002337
  22 0.7325188 0.11286578 0.4965490 0.7375305 0.9314365    0.002794701  1631 1.000986 1.002802
  23 0.5424891 0.12878550 0.2820285 0.5464150 0.7814672    0.003267994  1553 1.000502 1.001330
  24 0.6313735 0.11004069 0.4004725 0.6375450 0.8313504    0.002170635  2570 1.006772 1.019961
Parameter  po_B 
    Statistic
ID        Mean         SD         2.5%        50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.9836525 0.02833875 0.9007623750 0.99564550 1.0000000   0.0004585102  3820 1.001576 1.003933
  2  0.4380998 0.13454369 0.1723691250 0.44027850 0.6966515   0.0022499070  3576 1.000365 1.000685
  3  0.7547892 0.14487844 0.4355404750 0.77203600 0.9737331   0.0032624983  1972 1.001449 1.004041
  4  0.6040005 0.14640777 0.3061351750 0.61088500 0.8693112   0.0028155341  2704 1.002207 1.006848
  5  0.7727691 0.10518125 0.5332479000 0.78622400 0.9392957   0.0017315106  3690 1.000509 1.001436
  6  0.9814991 0.02998824 0.8944036500 0.99390500 1.0000000   0.0004594584  4260 1.000332 1.001013
  7  0.1023193 0.08657443 0.0005617465 0.08206485 0.3137633   0.0013369871  4193 1.000631 1.002118
  8  0.5966873 0.19659570 0.2072261250 0.60020650 0.9297847   0.0071738792   751 1.003459 1.008935
  9  0.9338995 0.06955132 0.7507253500 0.95570850 0.9999590   0.0012339477  3177 1.002783 1.006958
  10 0.7063981 0.13361652 0.4145683750 0.71925700 0.9263282   0.0023427078  3253 1.000184 1.000686
  11 0.9427746 0.06664287 0.7612535000 0.96635450 0.9999980   0.0012646366  2777 1.005154 1.012294
  12 0.9812076 0.03009500 0.8955050250 0.99363100 1.0000000   0.0004569825  4337 1.000740 1.001015
  13 0.2890847 0.18773956 0.0045792728 0.27035600 0.6949869   0.0057260030  1075 1.007903 1.017404
  14 0.9721551 0.03949823 0.8576295250 0.98782650 0.9999960   0.0006235872  4012 1.001619 1.002202
  15 0.9750081 0.03505791 0.8741976500 0.98880100 0.9999980   0.0005306326  4365 1.008614 1.017867
  16 0.8017725 0.10636615 0.5581777750 0.81786850 0.9593222   0.0017917834  3524 1.004492 1.012380
  17 0.9486803 0.06331769 0.7726165000 0.97246150 0.9999930   0.0011390580  3090 1.000919 1.002237
  18 0.9335187 0.05698487 0.7894453750 0.94836850 0.9963943   0.0008686073  4304 1.002409 1.006161
  19 0.8511403 0.09011122 0.6344389250 0.86854900 0.9749188   0.0015665004  3309 1.001909 1.004476
  20 0.3351741 0.13598681 0.0803011750 0.33186600 0.6097803   0.0020825152  4264 1.000493 1.001346
  21 0.2936633 0.14218854 0.0236185400 0.29174400 0.5744615   0.0024945358  3249 1.003007 1.009037
  22 0.8231495 0.11349379 0.5553598500 0.84206200 0.9825012   0.0025084946  2047 1.001039 1.003253
  23 0.6369787 0.14849583 0.3358653000 0.64195300 0.9057217   0.0034211634  1884 1.001658 1.005340
  24 0.8167257 0.11232518 0.5548680000 0.83352350 0.9791204   0.0020285748  3066 1.000505 1.001637
Parameter  q1_A 
    Statistic
ID         Mean         SD         2.5%         50%      97.5% Time-series SE n.eff     Rhat
  1  0.06171277 0.06462287 2.135151e-04 0.042127150 0.24120287   0.0018577769  1210 1.003227
  2  0.05807071 0.05899986 3.496878e-04 0.041725250 0.21265995   0.0013040434  2047 1.006547
  3  0.02210208 0.02672003 1.084670e-05 0.012521800 0.09569693   0.0006054002  1948 1.001493
  4  0.09763711 0.07184442 1.070452e-02 0.080190650 0.28348935   0.0013589458  2795 1.001746
  5  0.30721806 0.14106786 7.941455e-02 0.293894500 0.61066695   0.0028977033  2370 1.001056
  6  0.11270774 0.09580399 2.008753e-03 0.089101050 0.36342765   0.0021650966  1958 1.003330
  7  0.06900198 0.06751952 5.704208e-04 0.050744050 0.25024137   0.0015041523  2015 1.007157
  8  0.01664752 0.02553054 6.294724e-07 0.006213150 0.08992636   0.0006784666  1416 1.005509
  9  0.13594393 0.10346504 1.631717e-02 0.106654000 0.41013587   0.0021306972  2358 1.003145
  10 0.04205252 0.05319256 6.075141e-05 0.024298700 0.18310030   0.0013244444  1613 1.006207
  11 0.06881840 0.07107552 3.928506e-04 0.048434650 0.26001887   0.0014987366  2249 1.002163
  12 0.06000988 0.06415553 1.313707e-04 0.040741050 0.22997202   0.0016253630  1558 1.004855
  13 0.01506529 0.02585974 1.149487e-07 0.004443785 0.08865599   0.0007343674  1240 1.006170
  14 0.04644834 0.04468852 2.461440e-04 0.034512550 0.16190282   0.0010140779  1942 1.003572
  15 0.14823262 0.09842879 1.993378e-02 0.127053000 0.39513360   0.0020631748  2276 1.011142
  16 0.03183598 0.03559401 4.858388e-05 0.020449600 0.12330910   0.0007055585  2545 1.001776
  17 0.04972001 0.05217802 1.949211e-04 0.034665100 0.18994900   0.0010941891  2274 1.001151
  18 0.12468808 0.07683506 2.256522e-02 0.107922000 0.31644223   0.0016794799  2093 1.002995
  19 0.07738315 0.05798229 6.843592e-03 0.063682250 0.22603340   0.0011986364  2340 1.001470
  20 0.11377723 0.08766415 1.238373e-02 0.090862500 0.34854957   0.0019003614  2128 1.001957
  21 0.05550571 0.05220236 5.016555e-04 0.041903800 0.19058327   0.0011535200  2048 1.006394
  22 0.02556245 0.03224640 1.711105e-05 0.013813100 0.11272750   0.0006787588  2257 1.003012
  23 0.03224556 0.03738699 5.717004e-05 0.019880500 0.13079675   0.0009009566  1722 1.002027
  24 0.03743693 0.03752025 1.942913e-04 0.026710900 0.13409367   0.0006860528  2991 1.000578
    Statistic
ID      R_95%
  1  1.006575
  2  1.015220
  3  1.001581
  4  1.004740
  5  1.003403
  6  1.009917
  7  1.016083
  8  1.007774
  9  1.008674
  10 1.009935
  11 1.005090
  12 1.013469
  13 1.009005
  14 1.007525
  15 1.032439
  16 1.002933
  17 1.002361
  18 1.008183
  19 1.003600
  20 1.004782
  21 1.015602
  22 1.004519
  23 1.005593
  24 1.001249
Parameter  q1_B 
    Statistic
ID         Mean         SD        2.5%        50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.16961609 0.10038075 0.029605513 0.14926250 0.4262030   0.0029914466  1126 1.004716 1.010149
  2  0.13951123 0.05836583 0.048491400 0.13139100 0.2781442   0.0012691222  2115 1.002735 1.007158
  3  0.08175398 0.04996164 0.008861256 0.07498060 0.1963938   0.0011211070  1986 1.003124 1.006816
  4  0.12927176 0.06463342 0.023285505 0.12264800 0.2788732   0.0014804567  1906 1.002477 1.007335
  5  0.20137932 0.08555744 0.069266365 0.18801700 0.4027045   0.0020342011  1769 1.002202 1.007002
  6  0.20606635 0.09687559 0.063346195 0.18753900 0.4401315   0.0021608089  2010 1.001675 1.004644
  7  0.16057323 0.05973954 0.064056715 0.15318400 0.2989749   0.0012953232  2127 1.004838 1.013020
  8  0.05006737 0.03856754 0.001925858 0.04166450 0.1417226   0.0010249209  1416 1.005002 1.014433
  9  0.15282303 0.07013809 0.043117902 0.14314950 0.3179871   0.0014164254  2452 1.004558 1.013057
  10 0.09158041 0.04620778 0.018585908 0.08688890 0.1945060   0.0009967744  2149 1.002157 1.005188
  11 0.16899244 0.08247185 0.048855578 0.15438450 0.3730586   0.0019406484  1806 1.001443 1.003513
  12 0.17518666 0.08840397 0.047053523 0.15856750 0.3962961   0.0020773637  1811 1.004327 1.011205
  13 0.04629192 0.03596822 0.001798303 0.03786660 0.1334302   0.0008838707  1656 1.002689 1.008240
  14 0.11985570 0.06590147 0.018854850 0.11205300 0.2768918   0.0015853431  1728 1.007170 1.020242
  15 0.15881570 0.07014500 0.044810818 0.14995450 0.3212520   0.0017052834  1692 1.001232 1.003209
  16 0.10486555 0.04974379 0.026137897 0.09947840 0.2203430   0.0009442943  2775 1.002594 1.007894
  17 0.11855949 0.06422338 0.017661913 0.11163700 0.2705914   0.0013879852  2141 1.002860 1.008493
  18 0.20932634 0.10436079 0.062470690 0.18820800 0.4691663   0.0026439524  1558 1.000654 1.001670
  19 0.15942105 0.08047030 0.043547475 0.14403300 0.3615799   0.0019644439  1678 1.001950 1.004561
  20 0.14194191 0.06072228 0.044254108 0.13439900 0.2843143   0.0012614936  2317 1.001693 1.004349
  21 0.21538747 0.08751159 0.089708183 0.19940850 0.4186712   0.0019950925  1924 1.002965 1.008403
  22 0.07033056 0.04481954 0.005924460 0.06397675 0.1709111   0.0010564068  1800 1.001477 1.004799
  23 0.07316355 0.04355558 0.007411466 0.06731120 0.1697003   0.0009858342  1952 1.002369 1.006939
  24 0.13951890 0.06270909 0.048153920 0.12899400 0.2943902   0.0012496911  2518 1.006094 1.018352
Parameter  q2_A 
    Statistic
ID        Mean         SD       2.5%       50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.5404547 0.12618362 0.28158220 0.5434415 0.7757922    0.004016469   987 1.011923 1.033161
  2  0.4813573 0.12191746 0.26371635 0.4723475 0.7350389    0.003065227  1582 1.003364 1.010427
  3  0.3208383 0.08883177 0.15039583 0.3200555 0.4988401    0.001911798  2159 1.002619 1.007301
  4  0.4744753 0.11496045 0.27121190 0.4652085 0.7203508    0.002593386  1965 1.002316 1.007057
  5  0.3826787 0.12805072 0.12323665 0.3870905 0.6237473    0.004080035   985 1.002846 1.008252
  6  0.5245619 0.11936165 0.28736290 0.5253560 0.7560104    0.002937591  1651 1.008107 1.024721
  7  0.3614857 0.11273004 0.14318815 0.3609330 0.5909831    0.002760207  1668 1.003792 1.011925
  8  0.2203797 0.09417807 0.05755302 0.2147445 0.4161695    0.002342767  1616 1.004763 1.012532
  9  0.4810096 0.12411397 0.25207375 0.4737075 0.7440387    0.003016423  1693 1.005201 1.015133
  10 0.4008310 0.12350276 0.18437743 0.3891440 0.6761529    0.003207053  1483 1.000853 1.002300
  11 0.6170202 0.14631528 0.35616552 0.6132330 0.9035412    0.004356474  1128 1.008040 1.023626
  12 0.4292062 0.11655530 0.18949967 0.4314335 0.6532165    0.003070436  1441 1.011758 1.034434
  13 0.1785263 0.09530946 0.02544301 0.1692495 0.3846012    0.002349920  1645 1.013115 1.037980
  14 0.4256022 0.10590893 0.22032897 0.4234020 0.6366701    0.002317754  2088 1.012755 1.038859
  15 0.4382326 0.11266312 0.21594955 0.4383940 0.6573069    0.002688559  1756 1.004558 1.013797
  16 0.3460456 0.09415313 0.16382840 0.3456695 0.5370789    0.001796737  2746 1.001500 1.004162
  17 0.4272404 0.10912779 0.21965745 0.4239585 0.6519063    0.002517514  1879 1.004022 1.011968
  18 0.5908553 0.12523059 0.34704388 0.5934925 0.8234570    0.003557745  1239 1.006866 1.019579
  19 0.4299196 0.11260647 0.20880495 0.4292270 0.6543373    0.002926077  1481 1.003121 1.006549
  20 0.3830592 0.11526297 0.15870363 0.3825920 0.6181501    0.002521858  2089 1.004165 1.011880
  21 0.4005749 0.09893245 0.20674605 0.3988070 0.6009066    0.002157343  2103 1.007175 1.022102
  22 0.2968634 0.09755879 0.11661815 0.2940275 0.4958605    0.002220689  1930 1.002496 1.007461
  23 0.2777979 0.09150483 0.10695335 0.2768320 0.4589316    0.001937723  2230 1.002064 1.006093
  24 0.3726378 0.09319770 0.19467163 0.3707525 0.5648792    0.002004367  2162 1.000323 1.000659
Parameter  q2_B 
    Statistic
ID        Mean         SD       2.5%       50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.2988465 0.08178623 0.11643125 0.3053840 0.4552763   0.0022995081  1265 1.001915 1.002671
  2  0.3243039 0.05777045 0.20943077 0.3228125 0.4478180   0.0010032254  3316 1.003149 1.009779
  3  0.3200464 0.06443585 0.19739798 0.3183765 0.4582067   0.0014111544  2085 1.004323 1.012597
  4  0.3419409 0.06638704 0.22178625 0.3359765 0.4966149   0.0013897141  2282 1.002082 1.003791
  5  0.3271146 0.06976645 0.18597625 0.3260850 0.4714933   0.0017953874  1510 1.001967 1.006031
  6  0.3193601 0.07334765 0.16710708 0.3205150 0.4692493   0.0018145133  1634 1.005046 1.015510
  7  0.3715252 0.07158097 0.25968353 0.3597630 0.5398300   0.0015100664  2247 1.003158 1.009342
  8  0.2622284 0.07815791 0.09546624 0.2723195 0.3937710   0.0022115243  1249 1.005256 1.014767
  9  0.3164626 0.06705787 0.17590493 0.3176250 0.4538261   0.0013774492  2370 1.002119 1.005019
  10 0.3185564 0.05977777 0.19720722 0.3184765 0.4427083   0.0011069958  2916 1.001669 1.004543
  11 0.3216960 0.07319405 0.17101708 0.3218010 0.4747880   0.0017054184  1842 1.000785 1.001342
  12 0.3026234 0.07868395 0.12593193 0.3087105 0.4519391   0.0021211772  1376 1.003215 1.007173
  13 0.2917179 0.07354540 0.13716130 0.2969995 0.4310727   0.0024556095   897 1.011044 1.031975
  14 0.3095879 0.06874565 0.16267942 0.3123040 0.4445860   0.0013311706  2667 1.000772 1.001078
  15 0.3134632 0.06696506 0.17249795 0.3151390 0.4452825   0.0016525768  1642 1.005919 1.017859
  16 0.3013637 0.06361596 0.16059788 0.3061130 0.4183438   0.0012512261  2585 1.002748 1.007890
  17 0.3098495 0.07081242 0.15440757 0.3130520 0.4484844   0.0015990817  1961 1.002719 1.004876
  18 0.3251758 0.07796759 0.16755543 0.3244190 0.4938657   0.0021666026  1295 1.004305 1.013350
  19 0.3361849 0.06980661 0.21068110 0.3302635 0.4982269   0.0013818350  2552 1.001620 1.002472
  20 0.3612843 0.06684992 0.25350892 0.3518610 0.5192810   0.0013617342  2410 1.001090 1.003264
  21 0.3541679 0.06686716 0.24140060 0.3457400 0.5093933   0.0013814231  2343 1.002119 1.006266
  22 0.3158059 0.06663182 0.18222688 0.3153420 0.4582902   0.0013464410  2449 1.005309 1.014766
  23 0.3229939 0.05980716 0.20755472 0.3216055 0.4523832   0.0011795113  2571 1.003131 1.009008
  24 0.3196302 0.06028736 0.19792577 0.3192245 0.4447319   0.0009763215  3813 1.001864 1.004473
Parameter  r1 
    Statistic
ID         Mean         SD        2.5%        50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.19524993 0.07052755 0.076319803 0.18862900 0.3497321    0.001439338  2401 1.001517 1.004828
  2  0.41494899 0.10381752 0.229812250 0.40901100 0.6361753    0.002319112  2004 1.004651 1.014328
  3  0.23749557 0.08302863 0.095855200 0.23062750 0.4224843    0.001789809  2152 1.000870 1.002347
  4  0.39357773 0.09689156 0.219785100 0.38817900 0.5969849    0.001780602  2961 1.001606 1.004609
  5  0.74836877 0.10083264 0.537566725 0.75387400 0.9250590    0.001822508  3061 1.000993 1.002963
  6  0.59125723 0.09484042 0.405437650 0.59199900 0.7745107    0.001652965  3292 1.002548 1.007549
  7  0.27691041 0.09951108 0.108478625 0.26832700 0.4956931    0.002411372  1703 1.005250 1.014525
  8  0.16139204 0.08415957 0.043281205 0.14674500 0.3681664    0.002400643  1229 1.009251 1.026950
  9  0.38412652 0.09957221 0.206042000 0.37785050 0.5970473    0.001946047  2618 1.001228 1.003326
  10 0.20884074 0.08612412 0.075601673 0.19781950 0.4043822    0.001968584  1914 1.002386 1.006997
  11 0.17666428 0.07193600 0.056699422 0.16958350 0.3364203    0.001412956  2592 1.005785 1.016969
  12 0.15757613 0.06466338 0.051202327 0.15087300 0.3022366    0.001225530  2784 1.000732 1.001169
  13 0.06434253 0.05549702 0.003137195 0.05105535 0.1992922    0.001478476  1409 1.022103 1.038846
  14 0.32793023 0.09189466 0.168114200 0.32055950 0.5263875    0.001761676  2721 1.000521 1.001070
  15 0.50192990 0.11085345 0.295087450 0.49788300 0.7278325    0.002164463  2623 1.000729 1.002184
  16 0.16926781 0.07387901 0.050865240 0.16056850 0.3384772    0.001431377  2664 1.001494 1.004462
  17 0.29540939 0.08057593 0.155453850 0.28920050 0.4693182    0.001595328  2551 1.002168 1.006190
  18 0.15705856 0.07716893 0.030160230 0.14847700 0.3288825    0.001716137  2022 1.002569 1.007582
  19 0.45145552 0.09492183 0.276010725 0.44750500 0.6489740    0.001732739  3001 1.000542 1.001443
  20 0.33658068 0.09546756 0.168768875 0.33000000 0.5418014    0.002117323  2033 1.001524 1.004541
  21 0.37080166 0.09605458 0.194703000 0.36653450 0.5662864    0.001900302  2555 1.001705 1.005266
  22 0.16497417 0.08261251 0.046024777 0.15235200 0.3594278    0.002143792  1485 1.001058 1.001915
  23 0.42180483 0.11973796 0.218436925 0.41187200 0.6840339    0.003204713  1396 1.001790 1.005093
  24 0.30720678 0.09480336 0.142156450 0.30057500 0.5123218    0.001857818  2604 1.000834 1.002361
Parameter  r2 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.6580343 0.07056473 0.5042557 0.6619030 0.7871316    0.001841097  1469 1.002058 1.004757
  2  0.6530132 0.08330840 0.4778886 0.6543150 0.8203240    0.001969625  1789 1.001663 1.003417
  3  0.6590615 0.08313325 0.4988937 0.6561075 0.8376681    0.002476354  1127 1.008919 1.025281
  4  0.6736739 0.07983490 0.5133759 0.6719670 0.8396111    0.001884871  1794 1.003410 1.007193
  5  0.7026715 0.10165328 0.4965701 0.6981720 0.9082170    0.003091780  1081 1.004729 1.012480
  6  0.7205418 0.08386128 0.5607967 0.7154215 0.8951422    0.002189507  1467 1.004757 1.011520
  7  0.6632561 0.09121920 0.4786772 0.6626580 0.8557884    0.002823163  1044 1.010936 1.028333
  8  0.5440901 0.11507356 0.3185739 0.5460310 0.7595448    0.004538058   643 1.015234 1.044174
  9  0.6084716 0.09500628 0.3854210 0.6237740 0.7593301    0.002423346  1537 1.005344 1.013977
  10 0.6261737 0.08297360 0.4533734 0.6294470 0.7853252    0.002105495  1553 1.000703 1.002140
  11 0.7021834 0.07078384 0.5699305 0.6984275 0.8516336    0.001384728  2613 1.007412 1.019174
  12 0.7179040 0.06997529 0.5923449 0.7135650 0.8638905    0.001571784  1982 1.006354 1.017778
  13 0.5323295 0.11838095 0.3137435 0.5298255 0.7637355    0.005392104   482 1.004808 1.012091
  14 0.6488031 0.07809464 0.4793855 0.6531275 0.7964153    0.001863627  1756 1.002615 1.006525
  15 0.7001612 0.08868545 0.5265431 0.6951155 0.8871006    0.002403938  1361 1.004097 1.009622
  16 0.6589552 0.07624033 0.5102104 0.6576870 0.8188683    0.001929054  1562 1.002120 1.003685
  17 0.7121886 0.07501803 0.5804141 0.7056090 0.8738072    0.001760385  1816 1.008249 1.023894
  18 0.7208054 0.07263445 0.5885013 0.7167890 0.8733590    0.001567569  2147 1.003901 1.009651
  19 0.6472969 0.08226200 0.4676153 0.6510835 0.8045157    0.001923501  1829 1.004171 1.009060
  20 0.6778560 0.08042999 0.5222079 0.6746995 0.8498958    0.002121728  1437 1.001815 1.005118
  21 0.6952184 0.08016181 0.5448303 0.6898820 0.8668994    0.002087944  1474 1.010795 1.030087
  22 0.5848187 0.09395684 0.3912536 0.5896880 0.7574265    0.002884501  1061 1.001139 1.001628
  23 0.6093796 0.09780570 0.3984145 0.6155300 0.7948322    0.002843621  1183 1.005798 1.014817
  24 0.6651314 0.07744284 0.5156136 0.6624780 0.8313119    0.001917584  1631 1.003136 1.006401
Parameter  r5 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.8895615 0.11200417 0.6198255 0.9144325 0.9997310    0.003083982  1319 1.031422 1.074714
  2  0.8763956 0.10413324 0.6264147 0.8942750 0.9991641    0.002418436  1854 1.001028 1.002750
  3  0.8606309 0.09527943 0.6485912 0.8693770 0.9991744    0.002820696  1141 1.002589 1.007974
  4  0.8987628 0.08076005 0.7140253 0.9124360 0.9993530    0.001781953  2054 1.009454 1.022069
  5  0.8817027 0.11997813 0.5752603 0.9091405 0.9997880    0.003411279  1237 1.012543 1.030510
  6  0.8864857 0.11920153 0.5879190 0.9140525 0.9997550    0.003251488  1344 1.035887 1.072234
  7  0.8796501 0.12066149 0.5822506 0.9052730 0.9996711    0.003007155  1610 1.002416 1.005822
  8  0.7892744 0.15129855 0.4613432 0.8136400 0.9993460    0.006964080   472 1.021425 1.063243
  9  0.8776210 0.10209946 0.6349011 0.8952770 0.9991510    0.002336794  1909 1.007676 1.020229
  10 0.8818159 0.08257004 0.6991263 0.8910115 0.9991951    0.002198158  1411 1.000613 1.001398
  11 0.8891261 0.09198166 0.6688919 0.9053410 0.9995780    0.002144333  1840 1.014135 1.039837
  12 0.8836219 0.11528031 0.5971485 0.9085815 0.9996290    0.002740113  1770 1.019393 1.040873
  13 0.8260321 0.13464809 0.5139742 0.8491825 0.9996731    0.005910395   519 1.030097 1.084949
  14 0.8991216 0.07589421 0.7290758 0.9103960 0.9992640    0.001534862  2445 1.008496 1.022156
  15 0.8772474 0.12314956 0.5529642 0.9033205 0.9996901    0.002953134  1739 1.023954 1.052738
  16 0.8829278 0.08531144 0.6919054 0.8935535 0.9988940    0.002066070  1705 1.003170 1.008681
  17 0.8841091 0.08241255 0.6951517 0.8947855 0.9986611    0.001727837  2275 1.001936 1.005804
  18 0.8991801 0.10201880 0.6637128 0.9219070 0.9998100    0.002542537  1610 1.020653 1.049914
  19 0.8975699 0.08336268 0.7047825 0.9117960 0.9994660    0.001851590  2027 1.004739 1.011501
  20 0.8951615 0.08904269 0.6895552 0.9117580 0.9994930    0.002103436  1792 1.002703 1.005566
  21 0.8777388 0.11354328 0.5946233 0.9002455 0.9994171    0.002795242  1650 1.001732 1.004463
  22 0.8787891 0.08050823 0.7071869 0.8850675 0.9991445    0.002263576  1265 1.002608 1.007823
  23 0.8330375 0.12967092 0.5060903 0.8569470 0.9989753    0.003866040  1125 1.003960 1.011609
  24 0.8773458 0.08843673 0.6767179 0.8884555 0.9987661    0.002044541  1871 1.001304 1.002856
Parameter  r6 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.9247515 0.07336836 0.7358855 0.9479115 0.9994750   0.0025684065   816 1.011042 1.029063
  2  0.7767418 0.12171611 0.5292288 0.7801860 0.9877181   0.0033176114  1346 1.003058 1.007879
  3  0.4935275 0.11229927 0.2860492 0.4897435 0.7200817   0.0022623334  2464 1.001562 1.004413
  4  0.7824859 0.09295752 0.5954265 0.7852280 0.9616641   0.0022538883  1701 1.004476 1.013174
  5  0.9237762 0.05746881 0.7852206 0.9345160 0.9986840   0.0013357617  1851 1.003920 1.010887
  6  0.9591446 0.03958402 0.8533249 0.9707845 0.9995460   0.0008934285  1963 1.002864 1.007194
  7  0.9166386 0.06416739 0.7565298 0.9312300 0.9966928   0.0016241005  1561 1.003799 1.009320
  8  0.3204568 0.12477125 0.1238467 0.3042290 0.6019387   0.0037534736  1105 1.005124 1.011813
  9  0.8967698 0.05485261 0.7741114 0.9029875 0.9844788   0.0010712256  2622 1.002365 1.007354
  10 0.5926181 0.09671316 0.4073567 0.5921220 0.7839248   0.0019611184  2432 1.000962 1.002103
  11 0.8848521 0.05991888 0.7518615 0.8906320 0.9842435   0.0012609611  2258 1.004484 1.013816
  12 0.9375762 0.05314372 0.8039325 0.9507565 0.9987971   0.0014405319  1361 1.009004 1.024881
  13 0.3601899 0.13286169 0.1417120 0.3457615 0.6522374   0.0034535753  1480 1.006615 1.018019
  14 0.7860619 0.08509926 0.6098686 0.7900925 0.9363311   0.0017771486  2293 1.004720 1.014621
  15 0.9605155 0.03339798 0.8757484 0.9690870 0.9989181   0.0006876322  2359 1.005382 1.015322
  16 0.7421577 0.08521163 0.5663955 0.7452065 0.8989382   0.0015967204  2848 1.001633 1.005122
  17 0.7579275 0.07829816 0.5963657 0.7617965 0.9000622   0.0014078670  3093 1.000396 1.000703
  18 0.9216009 0.07279643 0.7437288 0.9437420 0.9994120   0.0022827041  1017 1.011034 1.029810
  19 0.7952931 0.10579381 0.5684551 0.8028590 0.9763342   0.0028793427  1350 1.001368 1.003861
  20 0.8518951 0.08089892 0.6740199 0.8597675 0.9849126   0.0018717778  1868 1.002051 1.005691
  21 0.8467081 0.10085155 0.6192277 0.8603150 0.9946182   0.0023034115  1917 1.006414 1.019039
  22 0.4840233 0.09191028 0.3098031 0.4821900 0.6681572   0.0015114043  3698 1.003469 1.010830
  23 0.6465126 0.12270326 0.4110305 0.6453310 0.8862844   0.0033042582  1379 1.002504 1.007705
  24 0.7265056 0.09229887 0.5406952 0.7285890 0.9012104   0.0016893677  2985 1.000790 1.002419


#################################
#### Model information
$model
[1] "traitMPT"

$thetaNames
   Parameter theta
1        b_A     1
2        b_B     2
3       pn_A     3
4       pn_B     4
5       po_A     5
6       po_B     6
7       q1_A     7
8       q1_B     8
9       q2_A     9
10      q2_B    10
11      q5_A     9
12      q5_B    10
13      q6_A     7
14      q6_B     8
15        r1    11
16        r2    12
17        r5    13
18        r6    14

$thetaUnique
 [1] "b_A"  "b_B"  "pn_A" "pn_B" "po_A" "po_B" "q1_A" "q1_B" "q2_A" "q2_B" "r1"   "r2"   "r5"  
[14] "r6"  

$thetaFixed
NULL

$MPT
      Tree Category
1  T_A_New  A_New_1
2  T_A_New  A_New_2
3  T_A_New  A_New_3
4  T_A_New  A_New_4
5  T_A_New  A_New_5
6  T_A_New  A_New_6
7  T_A_Old  A_Old_1
8  T_A_Old  A_Old_2
9  T_A_Old  A_Old_3
10 T_A_Old  A_Old_4
11 T_A_Old  A_Old_5
12 T_A_Old  A_Old_6
13 T_B_New  B_New_1
14 T_B_New  B_New_2
15 T_B_New  B_New_3
16 T_B_New  B_New_4
17 T_B_New  B_New_5
18 T_B_New  B_New_6
19 T_B_Old  B_Old_1
20 T_B_Old  B_Old_2
21 T_B_Old  B_Old_3
22 T_B_Old  B_Old_4
23 T_B_Old  B_Old_5
24 T_B_Old  B_Old_6
                                                                                                  Equation
1                                          theta[3,n]*theta[11,n]+(1-theta[3,n])*(1-theta[1,n])*theta[7,n]
2           theta[3,n]*(1-theta[11,n])*theta[12,n]+(1-theta[3,n])*(1-theta[1,n])*(1-theta[7,n])*theta[9,n]
3   theta[3,n]*(1-theta[11,n])*(1-theta[12,n])+(1-theta[3,n])*(1-theta[1,n])*(1-theta[7,n])*(1-theta[9,n])
4                                                  (1-theta[3,n])*theta[1,n]*(1-theta[7,n])*(1-theta[9,n])
5                                                      (1-theta[3,n])*theta[1,n]*(1-theta[7,n])*theta[9,n]
6                                                                     (1-theta[3,n])*theta[1,n]*theta[7,n]
7                                                                 (1-theta[5,n])*(1-theta[1,n])*theta[7,n]
8                                                  (1-theta[5,n])*(1-theta[1,n])*(1-theta[7,n])*theta[9,n]
9                                              (1-theta[5,n])*(1-theta[1,n])*(1-theta[7,n])*(1-theta[9,n])
10      theta[5,n]*(1-theta[14,n])*(1-theta[13,n])+(1-theta[5,n])*theta[1,n]*(1-theta[7,n])*(1-theta[9,n])
