Article,Year,Volume,Issue,Domain,Experiment,n_YA,n_OA,DV,Analysis,measure of latent process,fit model,Level of Fit,Framework,Notes,DOI
"Tauber, Rhodes. (2012). Multiple bases for young and older adults' judgments of learning in multitrial learning. Psychology and Aging, 27(2).",2012,27,2,Memory; Metamemory,1,80,40,Recall accuracy; judgements of learning,ANOVA; MLMs,0,0,NA,Frequentist,NA,10.1037/a0025246
"Boywitt, Kuhlmann, Meiser. (2012). The role of source memory in older adults' recollective experience. Psychology and Aging, 27(2).",2012,27,2,Memory,1,40,41,Remember/know; source judgements,MPT,1,1,Group,Frequentist,NA,10.1037/a0024729
"Boywitt, Kuhlmann, Meiser. (2012). The role of source memory in older adults' recollective experience. Psychology and Aging, 27(2).",2012,27,2,Memory,2,44,44,Remember/know; source judgements,MPT,1,1,Group,Frequentist,NA,10.1037/a0024729
"Schnitzspahn, Horn, Bayen, Kliegel. (2012). Age effects in emotional prospective memory: cue valence differentially affects the prospective and retrospective component. Psychology and Aging, 27(2).",2012,27,2,Prospective memory,1,45,41,Proportion correct,MPT,1,1,Group,Frequentist,"MPT model from R. E. Smith and U. J. Bayen, 2004,",10.1037/a0025021
"Heyl, Wahl. (2012). Managing daily life with age-related sensory loss: cognitive resources gain in importance. Psychology and Aging, 27(2).",2012,27,2,Various domains,1,0,430,Raw scores,SEM,0,0,NA,Frequentist,NA,10.1037/a0025471
"Froger, Bouazzaoui, Isingrini, Taconnat. (2012). Study time allocation deficit of older adults: the role of environmental support at encoding? Psychology and Aging, 27(3).",2012,27,3,Memory; Metamemory,1,61,57,Cued recall accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0026358
"Maillot, Perrot, Hartley. (2012). Effects of interactive physical-activity video-game training on physical and cognitive function in older adults. Psychology and Aging, 27(3).",2012,27,3,Cognitive training,1,0,30,Raw scores on various cognitive tasks,ANOVA; MANOVA,0,0,NA,Frequentist,NA,10.1037/a0026268
"Wilkinson, Yang. (2012). Plasticity of inhibition in older adults: retest practice and transfer effects. Psychology and Aging, 27(3).",2012,27,3,cognitive control; cognitive training,1,0,56,Raw scores on various cognitive tasks,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0025926
"McCarley, Yamani, Kramer, Mounts. (2012). Age, clutter, and competitive selection. Psychology and Aging, 27(3).",2012,27,3,visual processing,1,20,20,Error rates; RT,ANOVA; regression,0,0,NA,Frequentist,error rates also analyzed using transformation in Verhaeghen (2000),10.1037/a0026705
"McCarley, Yamani, Kramer, Mounts. (2012). Age, clutter, and competitive selection. Psychology and Aging, 27(3).",2012,27,3,visual processing,2,20,20,Error rates; RT,ANOVA; regression,0,0,NA,Frequentist,NA,10.1037/a0026705
"Noack, Lövdén, Lindenberger. (2012). Normal aging increases discriminal dispersion in visuospatial short-term memory. Psychology and Aging, 27(3).",2012,27,3,Working memory,1,22,20,Proportion correct,Mixture model,1,1,Individual,Bayesian,They fit model to both aggregate and individual then did ANOVAs on the latter,10.1037/a0027251
"Campbell, Zimerman, Healey, Lee, Hasher. (2012). Age differences in visual statistical learning. Psychology and Aging, 27(3).",2012,27,3,Statistical learning,1,24,24,RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0026780
"Thomas, Bonura, Taylor. (2012). The influence of semantic relationships on older adult map memory. Psychology and Aging, 27(3).",2012,27,3,Memory,1,24,23,Free recall accuracy; Distance estimation accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0028504
"Thomas, Bonura, Taylor. (2012). The influence of semantic relationships on older adult map memory. Psychology and Aging, 27(3).",2012,27,3,Memory,2,0,99,Free recall accuracy; Distance estimation accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0028504
"Chen, Naveh-Benjamin. (2012). Assessing the associative deficit of older adults in long-term and short-term/working memory. Psychology and Aging, 27(3).",2012,27,3,Memory,1,25,24,hits minus false-alarms,ANOVA,1,0,NA,Frequentist,Short-term and long-term memory,10.1037/a0026943
"Chen, Naveh-Benjamin. (2012). Assessing the associative deficit of older adults in long-term and short-term/working memory. Psychology and Aging, 27(3).",2012,27,3,Memory,2.1,30,29,hits minus false-alarms,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0026943
"Chen, Naveh-Benjamin. (2012). Assessing the associative deficit of older adults in long-term and short-term/working memory. Psychology and Aging, 27(3).",2012,27,3,Memory,2.2,12,12,hits minus false-alarms,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0026943
"Chen, Naveh-Benjamin. (2012). Assessing the associative deficit of older adults in long-term and short-term/working memory. Psychology and Aging, 27(3).",2012,27,3,Memory,3,24,24,hits minus false-alarms,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0026943
"Tullis, Benjamin. (2012). The effectiveness of updating metacognitive knowledge in the elderly: evidence from metamnemonic judgments of word frequency. Psychology and Aging, 27(3).",2012,27,3,Memory,1,76,32,Proportion ‘yes’ responses; metacognitive judgements,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0025838
"Bender, Raz. (2012). Age-related differences in recognition memory for items and associations: contribution of individual differences in working memory and metamemory. Psychology and Aging, 27(3).",2012,27,3,Memory,1,See notes,See notes,hits and false-alarms arcsin transformed,SEM,0,0,NA,Frequentist,N=100 aged 21-79; main measure was item/associative recognition,10.1037/a0026714
"Yang, Reed, Kuan. (2012). Retest learning in the absence of item-specific effects: does it show in the oldest-old? Psychology and Aging, 27(3).",2012,27,3,Memory,1,30,21,Standardized scores,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0026719
"Goh, An, Resnick. (2012). Differential trajectories of age-related changes in components of executive and memory processes. Psychology and Aging, 27(3).",2012,27,3,Memory; Executive functions,1,0,148,Raw scores,MLM,0,0,NA,Frequentist,NA,10.1037/a0026715
"Neupert, Allaire. (2012). I think I can, I think I can: examining the within-person coupling of control beliefs and cognition in older adults. Psychology and Aging, 27(3).",2012,27,3,Cognitive training,1,0,36,Raw scores,MLM,0,0,NA,Frequentist,NA,10.1037/a0026447
"von Stumm, Deary. (2012). Typical intellectual engagement and cognition in the ninth decade of life: The Lothian Birth Cohort 1921. Psychology and Aging, 27(3).",2012,27,3,Various domains,1,0,569,Composite scores,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0026527
"Hutchens, Kinsella, Ong, Pike, Parsons, Storey, Ames, Saling, Mullaly, Rand, Clare. (2012). Knowledge and use of memory strategies in amnestic mild cognitive impairment. Psychology and Aging, 27(3).",2012,27,3,Memory,1,0,52,Raw scores,ANCOVA; MANCOVA; regression,0,0,NA,Frequentist,also a group of 37 people with aMCI,10.1037/a0026256
"Mather, Mazar, Gorlick, Lighthall, Burgeno, Schoeke, Ariely. (2012). Risk preferences and aging: the &quot;certainty effect&quot; in older adults' decision making. Psychology and Aging, 27(4).",2012,27,4,Decision making,1,38,38,Probability of choice,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0030174
"Mather, Mazar, Gorlick, Lighthall, Burgeno, Schoeke, Ariely. (2012). Risk preferences and aging: the &quot;certainty effect&quot; in older adults' decision making. Psychology and Aging, 27(4).",2012,27,4,Decision making,2,48,48,Probability of choice,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0030174
"Mather, Mazar, Gorlick, Lighthall, Burgeno, Schoeke, Ariely. (2012). Risk preferences and aging: the &quot;certainty effect&quot; in older adults' decision making. Psychology and Aging, 27(4).",2012,27,4,Decision making,3,20,20,Probability of choice,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0030174
"Mather, Mazar, Gorlick, Lighthall, Burgeno, Schoeke, Ariely. (2012). Risk preferences and aging: the &quot;certainty effect&quot; in older adults' decision making. Psychology and Aging, 27(4).",2012,27,4,Decision making,4,107,50,Probability of choice,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0030174
"Queen, Hess, Ennis, Dowd, Grühn. (2012). Information search and decision making: effects of age and complexity on strategy use. Psychology and Aging, 27(4).",2012,27,4,Decision making,1,47,42,Various aspects of decision making,ANOVA,0,0,NA,Frequentist,Also 46 middle aged,10.1037/a0028744
"von Helversen, Mata. (2012). Losing a dime with a satisfied mind: positive affect predicts less search in sequential decision making. Psychology and Aging, 27(4).",2012,27,4,Decision making,1,32,32,Performance,Multiple threshold model of sequential decision making,1,1,Individual,"Frequentist (kind of, estimated via grid search)","“The model has several parameters that can be interpreted as capturing internal thresholds for accepting an offer that is best, second best, and so on, in comparison with previously seen offers.”",10.1037/a0027845
"von Helversen, Mata. (2012). Losing a dime with a satisfied mind: positive affect predicts less search in sequential decision making. Psychology and Aging, 27(4).",2012,27,4,Decision making,2,81,0,Performance,Multiple threshold model of sequential decision making,1,1,Individual,"Frequentist (kind of, estimated via grid search)","“The model has several parameters that can be interpreted as capturing internal thresholds for accepting an offer that is best, second best, and so on, in comparison with previously seen offers.”",10.1037/a0027845
"Tauber, Dunlosky. (2012). Can older adults accurately judge their learning of emotional information? Psychology and Aging, 27(4).",2012,27,4,Learning,1,31,30,Free recall accuracy; judgement of learning,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0028447
"Tauber, Dunlosky. (2012). Can older adults accurately judge their learning of emotional information? Psychology and Aging, 27(4).",2012,27,4,Learning,2,66,59,Free recall accuracy; judgement of learning,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0028447
"Weissberger, Wierenga, Bondi, Gollan. (2012). Partially overlapping mechanisms of language and task control in young and older bilinguals. Psychology and Aging, 27(4).",2012,27,4,cognitive control,1,30,30,RT; percent errors,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0028281
"Gamaldo, Allaire, Whitfield. (2012). Intraindividual variability in psychometrically defined mild cognitive impairment status in older African Americans. Psychology and Aging, 27(4).",2012,27,4,Various domains,1,0,50,Cognitive measures were used to determine MCI status,'an algorithm’ see notes,0,0,NA,?,"Our computer algorithm defined MCI status based on a modified version of the age-associated cognitive decline criteria (Ritchie, Artero, & Touchon, 2001), which  classifies individuals if they indicate impairment on at least one cognitive ability (i.e., language, memory, reasoning, executive functioning, constructional praxis, and perceptual speed).",10.1037/a0028557
"Puccioni, Vallesi. (2012). Conflict resolution and adaptation in normal aging: the role of verbal intelligence and cognitive reserve. Psychology and Aging, 27(4).",2012,27,4,cognitive control,1,22,23,Accuracy; RT,ANOVA; Mann Whitney U; ANCOVA,0,0,NA,Frequentist; non-parametric,accuracy were analyzed non-parametrically,10.1037/a0029106
"Aslan, Bäuml. (2012). Retrieval-induced forgetting in old and very old age. Psychology and Aging, 27(4).",2012,27,4,memory,1,0,48,d’,ANOVA,1,0,NA,Frequentist,24 young-old 24 old-old,10.1037/a0028379
"Umanath, Marsh. (2012). Aging and the memorial consequences of catching contradictions with prior knowledge. Psychology and Aging, 27(4).",2012,27,4,memory,1,79,50,Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0027242
"Gavazzeni, Andersson, Bäckman, Wiens, Fischer. (2012). Age, gender, and arousal in recognition of negative and neutral pictures 1 year later. Psychology and Aging, 27(4).",2012,27,4,memory,1,40,40,d’; c,ANOVA; regression,1,0,NA,Frequentist,NA,10.1037/a0027946
"Wong, Cramer, Gallo. (2012). Age-related reduction of the confidence-accuracy relationship in episodic memory: effects of recollection quality and retrieval monitoring. Psychology and Aging, 27(4).",2012,27,4,memory,1,112,56,2AFC accuracy; confidence,ANOVA; gamma correlation of accuracy and confidence,0,0,NA,Frequentist,NA,10.1037/a0027686
"Soderstrom, McCabe, Rhodes. (2012). Older adults predict more recollective experiences than younger adults. Psychology and Aging, 27(4).",2012,27,4,memory,1,20,20,Judgements of remembering and knowing; proportion r/k responses,ANOVA; gamma correlation,1,0,NA,Frequentist,NA,10.1037/a0029048
"Soderstrom, McCabe, Rhodes. (2012). Older adults predict more recollective experiences than younger adults. Psychology and Aging, 27(4).",2012,27,4,memory,2,16,16,Judgements of remembering and knowing; proportion r/k responses,ANOVA; gamma correlation,1,0,NA,Frequentist,NA,10.1037/a0029048
"Rendell, Bailey, Henry, Phillips, Gaskin, Kliegel. (2012). Older adults have greater difficulty imagining future rather than atemporal experiences. Psychology and Aging, 27(4).",2012,27,4,future thought,1,24,25,ratings of quality of imagined scenarios,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0029748
"Thomas, Bonura, Taylor, Brunyé. (2012). Metacognitive monitoring in visuospatial working memory. Psychology and Aging, 27(4).",2012,27,4,Working memory,1.1,25,25,Accuracy; judgements of learning,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0028556
"Thomas, Bonura, Taylor, Brunyé. (2012). Metacognitive monitoring in visuospatial working memory. Psychology and Aging, 27(4).",2012,27,4,Working memory,1.2,25,25,Accuracy; judgements of learning,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0028556
"Thomas, Bonura, Taylor, Brunyé. (2012). Metacognitive monitoring in visuospatial working memory. Psychology and Aging, 27(4).",2012,27,4,Working memory,2,25,25,Accuracy; judgements of learning,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0028556
"Porter, Wright, Tales, Gilchrist. (2012). Stimulus onsets and distraction in younger and older adults. Psychology and Aging, 27(4).",2012,27,4,cognitive control,1,20,21,RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0028486
"Porter, Wright, Tales, Gilchrist. (2012). Stimulus onsets and distraction in younger and older adults. Psychology and Aging, 27(4).",2012,27,4,cognitive control,2,20,20,RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0028486
"Price, Murray. (2012). The region of proximal learning heuristic and adult age differences in self-regulated learning. Psychology and Aging, 27(4).",2012,27,4,Learning,1,59,29,Ease of learning judgements; study time; recall accuracy,ANOVA; regression,0,0,NA,Frequentist,32 middle aged also,10.1037/a0029860
"Lawo, Philipp, Schuch, Koch. (2012). The role of task preparation and task inhibition in age-related task-switching deficits. Psychology and Aging, 27(4).",2012,27,4,switching,1,24,24,RT; error rates,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0027455
"Lawo, Philipp, Schuch, Koch. (2012). The role of task preparation and task inhibition in age-related task-switching deficits. Psychology and Aging, 27(4).",2012,27,4,switching,2,24,24,RT; error rates,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0027455
"Ardiale, Lemaire. (2012). Within-item strategy switching: an age comparative study in adults. Psychology and Aging, 27(4).",2012,27,4,switching,1,37,37,Proportion strategy switches,ANOVA; GLMEM,0,0,NA,Frequentist,NA,10.1037/a0027772
"Ardiale, Lemaire. (2012). Within-item strategy switching: an age comparative study in adults. Psychology and Aging, 27(4).",2012,27,4,switching,2,41,41,Proportion strategy switches,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0027772
"Holliday, Humphries, Milne, Memon, Houlder, Lyons, Bull. (2012). Reducing misinformation effects in older adults with cognitive interview mnemonics. Psychology and Aging, 27(4).",2012,27,4,memory; misinformation,1,31,28,Accuracy; recall; recognition,ANOVA,0,0,NA,Frequentist,Accuracy based on an interview about a staged event,10.1037/a0022031
"Luo, Craik, Moreno, Bialystok. (2013). Bilingualism interacts with domain in a working memory task: evidence from aging. Psychology and Aging, 28(1).",2013,28,1,Working memory,1,157,121,Span,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0030875
"Lighthall, Gorlick, Schoeke, Frank, Mather. (2013). Stress modulates reinforcement learning in younger and older adults. Psychology and Aging, 28(1).",2013,28,1,Learning,1,48,48,Number of blocks completed; accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0029823
"Stawski, Mogle, Sliwinski. (2013). Associations among fluid and crystallized cognition and daily stress processes in older adults. Psychology and Aging, 28(1).",2013,28,1,Various domains,1,0,107,Raw scores,MLM,0,0,NA,Frequentist,"cognitive scores used as predictor, not outcome",10.1037/a0029813
"Dutilh, Forstmann, Vandekerckhove, Wagenmakers. (2013). A diffusion model account of age differences in posterror slowing. Psychology and Aging, 28(1).",2013,28,1,Post-error slowing,1,15,19,RT; Accuracy,EZ-diffusion followed by JZS BFs,1,1,Individual,mix,NA,10.1037/a0029875
"Dutilh, Forstmann, Vandekerckhove, Wagenmakers. (2013). A diffusion model account of age differences in posterror slowing. Psychology and Aging, 28(1).",2013,28,1,Post-error slowing,2,108,84,RT; Accuracy,EZ-diffusion followed by JZS BFs,1,1,Individual,mix,this is a re-analysis of Ratcliff et al (2004),10.1037/a0029875
"Cashdollar, Fukuda, Bocklage, Aurtenetxe, Vogel, Gazzaley. (2013). Prolonged disengagement from attentional capture in normal aging. Psychology and Aging, 28(1).",2013,28,1,Working memory; Attention capture,1,31,27,Accuracy; k,ANOVA,1,0,NA,Frequentist,Cowan 2001 k measure,10.1037/a0029899
"Bryce, Dodson. (2013). Cross-age effect in recognition performance and memory monitoring for faces. Psychology and Aging, 28(1).",2013,28,1,memory,1,48,24,hits; false-alarms; Pr; d’,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0030213
"Bryce, Dodson. (2013). Cross-age effect in recognition performance and memory monitoring for faces. Psychology and Aging, 28(1).",2013,28,1,memory,2,72,0,hits; false-alarms; Pr; d’,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0030213
"Scullin. (2013). Sleep, memory, and aging: the link between slow-wave sleep and episodic memory changes from younger to older adults. Psychology and Aging, 28(1).",2013,28,1,memory,1,57,41,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0028830
"Hülür, Infurna, Ram, Gerstorf. (2013). Cohorts based on decade of death: no evidence for secular trends favoring later cohorts in cognitive aging and terminal decline in the AHEAD study. Psychology and Aging, 28(1).",2013,28,1,memory,1,0,4322,Proportion recalled,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0029965
"Meyer, Logan. (2013). Taking the testing effect beyond the college freshman: benefits for lifelong learning. Psychology and Aging, 28(1).",2013,28,1,Learning,1,60,60,Cued recall accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0030890
"Johnson, Whiting. (2013). Detecting subtle expressions: older adults demonstrate automatic and controlled positive response bias in emotional perception. Psychology and Aging, 28(1).",2013,28,1,Face processing,1,40,39,d’; c,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0029914
"Foster, Davis, Kisley. (2013). Brain responses to emotional images related to cognitive ability in older adults. Psychology and Aging, 28(1).",2013,28,1,Various domains,1,0,66,Raw scores,correlation; regression,0,0,NA,Frequentist,NA,10.1037/a0030928
"Aslan, Bäuml. (2013). Listwise directed forgetting is present in young-old adults, but is absent in old-old adults. Psychology and Aging, 28(1).",2013,28,1,memory,1,0,64,Proportion recalled,ANOVA,0,0,NA,Frequentist,old group split into young- and old-old,10.1037/a0031295
"Gordon, Soldan, Thomas, Stern. (2013). Effect of repetition lag on priming of unfamiliar visual objects in young and older adults. Psychology and Aging, 28(1).",2013,28,1,priming,1,24,24,Accuracy; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0030929
"Gordon, Soldan, Thomas, Stern. (2013). Effect of repetition lag on priming of unfamiliar visual objects in young and older adults. Psychology and Aging, 28(1).",2013,28,1,priming,2,24,24,Accuracy; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0030929
"Gordon, Soldan, Thomas, Stern. (2013). Effect of repetition lag on priming of unfamiliar visual objects in young and older adults. Psychology and Aging, 28(1).",2013,28,1,priming,3,36,24,Accuracy; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0030929
"Castel, Murayama, Friedman, McGillivray, Link. (2013). Selecting valuable information to remember: age-related differences and similarities in self-regulated learning. Psychology and Aging, 28(1).",2013,28,1,memory,1,24,24,Proportion recalled; study time,ANOVA; GLMEM,0,0,NA,Frequentist,NA,10.1037/a0030678
"Hildebrandt, Wilhelm, Herzmann, Sommer. (2013). Face and object cognition across adult age. Psychology and Aging, 28(1).",2013,28,1,visual processing,1,See notes,See notes,Accuracy,SEM,0,0,NA,Frequentist,N=448 aged 18-88,10.1037/a0031490
"Laukka, Lövdén, Herlitz, Karlsson, Ferencz, Pantzar, Keller, Graff, Fratiglioni, Bäckman. (2013). Genetic effects on old-age cognitive functioning: a population-based study. Psychology and Aging, 28(1).",2013,28,1,Various domains,1,0,2694,Raw scores,SEM,0,0,NA,Frequentist,NA,10.1037/a0030829
"Bastin, Diana, Simon, Collette, Yonelinas, Salmon. (2013). Associative memory in aging: the effect of unitization on source memory. Psychology and Aging, 28(1).",2013,28,1,memory,1,20,20,Proportion correct,ANCOVA; ANOVA,0,0,NA,Frequentist,controlled for education,10.1037/a0031566
"Bastin, Diana, Simon, Collette, Yonelinas, Salmon. (2013). Associative memory in aging: the effect of unitization on source memory. Psychology and Aging, 28(1).",2013,28,1,memory,2,20,20,Proportion correct; confidence,Dual-process model estimates of recollection/familiarity,1,1,Individual,Frequentist,NA,10.1037/a0031566
"Wang, Su. (2013). Age-related differences in the performance of theory of mind in older adults: a dissociation of cognitive and affective components. Psychology and Aging, 28(1).",2013,28,1,theory of mind,1,32,74,Raw scores,PCA then ANOVA,0,0,NA,Frequentist,old group split into young- and old-old,10.1037/a0030876
"Ahmed, Miller. (2013). Relationship between theory of mind and functional independence is mediated by executive function. Psychology and Aging, 28(2).",2013,28,2,theory of mind; executive functioning,1,0,43,Raw scores,correlation; regression,0,0,NA,Frequentist,NA,10.1037/a0031365
"Wilson, Boyle, Segawa, Yu, Begeny, Anagnos, Bennett. (2013). The influence of cognitive decline on well-being in old age. Psychology and Aging, 28(2).",2013,28,2,Various domains,1,0,1049,Raw scores,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0031196
"Edwards, Ruva, O'Brien, Haley, Lister. (2013). An examination of mediators of the transfer of cognitive speed of processing training to everyday functional performance. Psychology and Aging, 28(2).",2013,28,2,Speed; dual tasking,1,0,126,Raw scores,mediation analysis,0,0,NA,Frequentist,some bootstrapping,10.1037/a0030474
"Delprado, Kinsella, Ong, Pike. (2013). Naturalistic measures of prospective memory in amnestic mild cognitive impairment. Psychology and Aging, 28(2).",2013,28,2,Prospective memory,1,0,136,Raw scores,ANOVA,0,0,NA,Frequentist,compared to 113 aMCI,10.1037/a0029785
"Delprado, Kinsella, Ong, Pike. (2013). Naturalistic measures of prospective memory in amnestic mild cognitive impairment. Psychology and Aging, 28(2).",2013,28,2,Prospective memory,2,0,20,Raw scores,ANOVA; MANOVA,0,0,NA,Frequentist,compared to 21 aMCI,10.1037/a0029785
"Geraci, Miller. (2013). Improving older adults' memory performance using prior task success. Psychology and Aging, 28(2).",2013,28,2,memory,1,75,75,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0030332
"Breslin, Safer. (2013). Aging and long-term memory for emotionally valenced events. Psychology and Aging, 28(2).",2013,28,2,memory,1,See notes,See notes,Accuracy,ANOVA,0,0,NA,Frequentist,"25 and under (n =_x0001_ 73), 26–35 (n = _x0001_205), 36–45 (n =_x0001_ 278), 46–55 (n =_x0001_ 316), 56–65 (n =_x0001_ 177), and over 65 (n =_x0001_ 54, of which only 2 were older than 75).",10.1037/a0029554
"Ward, Berry, Shanks. (2013). An effect of age on implicit memory that is not due to explicit contamination: implications for single and multiple-systems theories. Psychology and Aging, 28(2).",2013,28,2,memory,1,20,20,d’; RT,‘single-system’ cognitive model,1,1,Individual,Frequentist,the model is reported in the appendix whereas ANOVA on d’ is presented in the main article,10.1037/a0031888
"Ward, Berry, Shanks. (2013). An effect of age on implicit memory that is not due to explicit contamination: implications for single and multiple-systems theories. Psychology and Aging, 28(2).",2013,28,2,memory,2,18,18,d’; RT,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0031888
"Ward, Berry, Shanks. (2013). An effect of age on implicit memory that is not due to explicit contamination: implications for single and multiple-systems theories. Psychology and Aging, 28(2).",2013,28,2,memory,3.1,107,0,RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0031888
"Ward, Berry, Shanks. (2013). An effect of age on implicit memory that is not due to explicit contamination: implications for single and multiple-systems theories. Psychology and Aging, 28(2).",2013,28,2,memory,3.2,32,0,RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0031888
"Ward, Berry, Shanks. (2013). An effect of age on implicit memory that is not due to explicit contamination: implications for single and multiple-systems theories. Psychology and Aging, 28(2).",2013,28,2,memory,3.3,32,0,RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0031888
"McDonough, Gallo. (2013). Impaired retrieval monitoring for past and future autobiographical events in older adults. Psychology and Aging, 28(2).",2013,28,2,Autobiographical memory,1,32,32,Proportion correct,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0032732
"McDonough, Gallo. (2013). Impaired retrieval monitoring for past and future autobiographical events in older adults. Psychology and Aging, 28(2).",2013,28,2,Autobiographical memory,2,40,40,Proportion correct,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0032732
"Noack, Lövdén, Schmiedek, Lindenberger. (2013). Age-related differences in temporal and spatial dimensions of episodic memory performance before and after hundred days of practice. Psychology and Aging, 28(2).",2013,28,2,memory,1,101,103,Accuracy; temporal errors,MLM; latent difference score model,0,0,NA,Frequentist,NA,10.1037/a0031489
"Ennis, Hess, Smith. (2013). The impact of age and motivation on cognitive effort: implications for cognitive engagement in older adulthood. Psychology and Aging, 28(2).",2013,28,2,Various domains,1,59,57,Accuracy; RT,MLM; ANOVA,0,0,NA,Frequentist,NA,10.1037/a0031255
"Cooper, Worthy, Gorlick, Maddox. (2013). Scaffolding across the lifespan in history-dependent decision-making. Psychology and Aging, 28(2).",2013,28,2,Decision making,1,47,42,Amount of oxygen earned in virtual environment game,Computational models,1,1,Individual,Frequentist,multiple models considered/compared,10.1037/a0032717
"Ritchie, Bates, Der, Starr, Deary. (2013). Education is associated with higher later life IQ scores, but not with faster cognitive processing speed. Psychology and Aging, 28(2).",2013,28,2,Various domains,1,0,See notes,Raw scores,regression,0,0,NA,Frequentist,various participant numbers at various time points. 550 + 321 + 1091,10.1037/a0030820
"Hartley. (2013). Age and method variance in measures of speed and working memory. Psychology and Aging, 28(2).",2013,28,2,working memory; speed,1,See notes,See notes,Span; RT,SEM,0,0,NA,Frequentist,157 aged 18-89,10.1037/a0032176
"Hogan, Mata, Carstensen. (2013). Exercise holds immediate benefits for affect and cognition in younger and older adults. Psychology and Aging, 28(2).",2013,28,2,Working memory,1,See notes,See notes,Accuracy; RT,T-tests,0,0,NA,Frequentist,144 aged 19-93,10.1037/a0032634
"Li, Baldassi, Johnson, Weber. (2013). Complementary cognitive capabilities, economic decision making, and aging. Psychology and Aging, 28(3).",2013,28,3,Various domains,1,173,163,Raw scores,CFA,0,0,NA,Frequentist,some bootstrapping,10.1037/a0034172
"Boyle, Yu, Wilson, Segawa, Buchman, Bennett. (2013). Cognitive decline impairs financial and health literacy among community-based older persons without dementia. Psychology and Aging, 28(3).",2013,28,3,Memory; Executive functions,1,0,645,Raw scores,path analysis,0,0,NA,Frequentist,NA,10.1037/a0033103
"Early, Widaman, Harvey, Beckett, Park, Farias, Reed, Decarli, Mungas. (2013). Demographic predictors of cognitive change in ethnically diverse older persons. Psychology and Aging, 28(3).",2013,28,3,Various domains,1,0,404,Raw scores,MLM,0,0,NA,Frequentist,NA,10.1037/a0031645
"Overman, Stephens. (2013). Synergistic effects of encoding strategy and context salience on associative memory in older adults. Psychology and Aging, 28(3).",2013,28,3,memory,1,128,101,proportion ‘old’ responses; d’; c,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0031441
"von Stumm, Deary. (2013). Intellect and cognitive performance in the Lothian Birth Cohort 1936. Psychology and Aging, 28(3).",2013,28,3,Various domains,1,0,1091,Raw scores,factor analysis,0,0,NA,Frequentist,NA,10.1037/a0033924
"Healey, Hasher, Campbell. (2013). The role of suppression in resolving interference: evidence for an age-related deficit. Psychology and Aging, 28(3).",2013,28,3,interference resolution,1,140,136,RT; Accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0033003
